window_days,metric,method_a,method_b,cohort_campaigns,paired_campaigns,spearman_rho,mean_absolute_rank_change,max_absolute_rank_change,campaigns_with_rank_change,top10_a,top10_b,top10_overlap,top10_jaccard
14,attributed_conversion_share,linear_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
14,attributed_conversion_share,linear_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
14,attributed_conversion_share,linear_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
14,attributed_conversion_share,linear_proxy,publisher,286,286,0.3875373295204834,72.89160839160839,239.0,285,10,10,1,0.05263157894736842
14,attributed_conversion_share,publisher,first_click_proxy,286,286,0.3875373295204835,72.89160839160839,239.0,285,10,10,1,0.05263157894736842
14,attributed_conversion_share,publisher,last_click_proxy,286,286,0.3875373295204835,72.89160839160839,239.0,285,10,10,1,0.05263157894736842
14,attributed_conversion_share,publisher,linear_proxy,286,286,0.3875373295204835,72.89160839160839,239.0,285,10,10,1,0.05263157894736842
14,attributed_conversion_share,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,first_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,first_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,first_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,first_click_proxy,publisher,286,286,0.9246612225854817,24.167832167832167,100.0,284,10,10,9,0.8181818181818182
30,credited_conversions,last_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,last_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,last_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,last_click_proxy,publisher,286,286,0.9246612225854817,24.167832167832167,100.0,284,10,10,9,0.8181818181818182
30,credited_conversions,linear_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,linear_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,linear_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,credited_conversions,linear_proxy,publisher,286,286,0.9246612225854817,24.167832167832167,100.0,284,10,10,9,0.8181818181818182
30,credited_conversions,publisher,first_click_proxy,286,286,0.9246612225854817,24.167832167832167,100.0,284,10,10,9,0.8181818181818182
30,credited_conversions,publisher,last_click_proxy,286,286,0.9246612225854817,24.167832167832167,100.0,284,10,10,9,0.8181818181818182
30,credited_conversions,publisher,linear_proxy,286,286,0.9246612225854817,24.167832167832167,100.0,284,10,10,9,0.8181818181818182
30,credited_conversions,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,first_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,first_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,first_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,first_click_proxy,publisher,286,286,0.8462133501928111,33.05594405594405,146.0,278,10,10,8,0.6666666666666666
30,transformed_cost_per_attributed_conversion,last_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,last_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,last_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,last_click_proxy,publisher,286,286,0.8462133501928111,33.05594405594405,146.0,278,10,10,8,0.6666666666666666
30,transformed_cost_per_attributed_conversion,linear_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,linear_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,linear_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,transformed_cost_per_attributed_conversion,linear_proxy,publisher,286,286,0.8462133501928111,33.05594405594405,146.0,278,10,10,8,0.6666666666666666
30,transformed_cost_per_attributed_conversion,publisher,first_click_proxy,286,286,0.8462133501928111,33.05594405594405,146.0,278,10,10,8,0.6666666666666666
30,transformed_cost_per_attributed_conversion,publisher,last_click_proxy,286,286,0.8462133501928111,33.05594405594405,146.0,278,10,10,8,0.6666666666666666
30,transformed_cost_per_attributed_conversion,publisher,linear_proxy,286,286,0.8462133501928111,33.05594405594405,146.0,278,10,10,8,0.6666666666666666
30,transformed_cost_per_attributed_conversion,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
30,attributed_conversion_share,first_click_proxy,first_click_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,first_click_proxy,last_click_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,first_click_proxy,linear_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,first_click_proxy,publisher,286,286,,142.493006993007,285.0,285,286,10,10,0.03496503496503497
30,attributed_conversion_share,last_click_proxy,first_click_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,last_click_proxy,last_click_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,last_click_proxy,linear_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,last_click_proxy,publisher,286,286,,142.493006993007,285.0,285,286,10,10,0.03496503496503497
30,attributed_conversion_share,linear_proxy,first_click_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,linear_proxy,last_click_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,linear_proxy,linear_proxy,286,286,,0.0,0.0,0,286,286,286,1.0
30,attributed_conversion_share,linear_proxy,publisher,286,286,,142.493006993007,285.0,285,286,10,10,0.03496503496503497
30,attributed_conversion_share,publisher,first_click_proxy,286,286,,142.493006993007,285.0,285,10,286,10,0.03496503496503497
30,attributed_conversion_share,publisher,last_click_proxy,286,286,,142.493006993007,285.0,285,10,286,10,0.03496503496503497
30,attributed_conversion_share,publisher,linear_proxy,286,286,,142.493006993007,285.0,285,10,286,10,0.03496503496503497
30,attributed_conversion_share,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
