arm,dimension,level,metric,n_treatment,n_control,treatment_mean,control_mean,effect,se,ci_low,ci_high,p_value,relative_lift,incremental_total,incremental_total_ci_low,incremental_total_ci_high,versus_rest_effect,interaction_p,interaction_q_bh
Mens E-Mail,history_segment,5) $500 - $750,conversion,1597,1652,0.013775829680651221,0.005447941888619854,0.008327887792031367,0.003434293611116052,0.0015840843607314338,0.015782796958735416,0.014640830369248558,1.5286300702706466,13.299636803874092,2.5297827240880997,25.205126743100458,0.0016471150920022437,0.6440493883131763,0.7982584109065232
Mens E-Mail,history_segment,"6) $750 - $1,000",conversion,644,622,0.024844720496894408,0.00482315112540193,0.02002156937149248,0.0067385514976641865,0.006758459765447323,0.035482465686825976,0.003398796192891347,4.151138716356107,12.893890675241156,4.352448088948076,22.85070790231593,0.013627492130840437,0.04512443066802106,0.2857880608974667
Mens E-Mail,history_segment,"7) $1,000 +",conversion,464,416,0.023706896551724137,0.014423076923076924,0.009283819628647213,0.009178348307007964,-0.01038474416273013,0.02912067518523201,0.3178188284221223,0.6436781609195401,4.307692307692307,-4.81852129150678,13.511993285947652,0.002554414738863608,0.7818407218969153,0.873220154885911
Mens E-Mail,history_segment,1) $0 - $100,revenue,7724,7612,1.0551760745727603,0.516893063583815,0.5382830109889453,0.2170487889847939,0.11283800154377643,0.9637280204341141,0.013149698788124836,1.0413817652278512,4157.697976878613,871.5607239241292,7443.835229833097,-0.3649500406693593,0.20729114980060426,0.5102119213572741
Mens E-Mail,history_segment,2) $100 - $200,revenue,4691,4836,1.127143466211895,0.42289495450785775,0.7042485117040373,0.2583950085999402,0.19771039512245447,1.2107866282856201,0.006437942003036569,1.6653036509352628,3303.629768403639,927.4594635194339,5679.800073287844,-0.08149338533874706,0.7927919827253666,0.873220154885911
Mens E-Mail,history_segment,3) $200 - $350,revenue,4090,4044,1.4694621026894867,0.9328808110781406,0.5365812916113462,0.3599383757177425,-0.1689912731007409,1.2421538563234331,0.1360641031480451,0.5751874036204189,2194.6174826904057,-691.1743069820303,5080.409272362842,-0.2877349500110339,0.46428467009193,0.7351173943122224
Mens E-Mail,history_segment,4) $350 - $500,revenue,2097,2124,2.579208392942298,1.0102683615819208,1.5689400313603774,0.602937957769893,0.38674543747747636,2.7511346252432785,0.009307654959671523,1.5529933342697826,3290.0672457627115,811.0051823902679,5769.1293091351545,0.8857854124983747,0.15349222078859548,0.5051545369346033
Mens E-Mail,history_segment,5) $500 - $750,revenue,1597,1652,1.6418659987476518,0.5388559322033899,1.103010066544262,0.5018938290655005,0.11876393097097604,2.0872562021175476,0.028076723359398485,2.046947988554264,1761.5070762711864,189.66599776064874,3333.3481547817237,0.36052414529177923,0.4917096045151903,0.7514832829210893
Mens E-Mail,history_segment,"6) $750 - $1,000",revenue,644,622,1.8836801242236023,0.3495337620578778,1.5341463621657245,0.6369024004820303,0.28395507664749076,2.7843376476839583,0.016231117525668335,4.389122106927376,987.9902572347266,182.86706936098403,1793.1134451084693,0.7878084594818906,0.22833362439655402,0.5260649821585104
Mens E-Mail,history_segment,"7) $1,000 +",revenue,464,416,3.491875,2.169807692307692,1.3220673076923077,1.9323654346784847,-2.470549109574353,5.114683724958969,0.49404882851064286,0.6093016041832847,613.4392307692308,-1146.3347868424996,2373.2132483809614,0.5680956507307022,0.7693747247364929,0.872723568357813
Mens E-Mail,mens,0,conversion,9568,9519,0.010869565217391304,0.005147599537766572,0.005721965679624732,0.001289126181968097,0.00321245958412127,0.00832528483391069,9.312603645383249e-06,1.1115794143744455,54.74776762264944,30.73681330087231,79.65632529085748,-0.0019701100219450714,0.2817964039140808,0.5788250458775713
Mens E-Mail,mens,1,conversion,11739,11787,0.013885339466734816,0.006193263765165012,0.007692075701569804,0.0012995135665679614,0.005168104081692224,0.010300394548402482,3.22680584438869e-09,1.2420067985534695,90.29727666072793,60.66837381498502,120.91633160369673,0.0019701100219450714,0.2817964039140808,0.5788250458775713
